평가,상품명,리뷰,index
2.5,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"제 피부타입은 수부지입니다‼️
 
 💚좋은 점
 1. 흡수가 잘된다
 제가 끈적이는 토너나 크림 종류를 정말 싫어하거든요. 그런데 이거는 체형이 물스킨이라 끈적이지 않고 흡수가 잘돼요.
 2. 어성초
 어성초 토너라서 그런지 피부 진정에 좋은 것 같아요. 자극이 느껴지지 않아서 모든 피부타입에 맞을 것 같고 순해요.
 3. 향
 향이 거의 무향에 가까워요. 어성초향이 딱히 느껴지지 않아서 무난하게 사용 가능 할 것 같아요.
 
 💚아쉬운 점
 1. 뚜껑
 저는 펌프나 뚜껑을 위로 열어서 사용하는 그런 걸 개인적으로 좋아해서 이거는 돌려서 사용하는 거라 좀 아쉬웠어요.
 
 그리고는 딱히 아쉬운 점은 없었어요.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",2025
4.0,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"우선 저는 데일리로 쓸 수 있고 무겁지 않은 물토너로 닦토도 가능하고 스킨팩으로도 쓸 만한 제품을 찾고있었고, 
 꼼꼼하게 찾아보다가 아비브 어성초 토너로 골랐어요! 
 (토너패드도 고민했는데 전 닦토용으로도 쓰고 밤이나 얼굴 좀 건조할 때는 “흡토”로도 자주 관리하는 편이라서 토너로 골랐습니당)
 
 ✅자극: 정말 자극 없이 순해요! 어성초에 민감하게 반응하시는 분들 아니시라면 다들 저자극에 진정효과있는 물너로 쓰시기 좋을 제품이에요
 
 ✅진정효과: 전 복합성에 피지가 많은 피부라서 피지관리를 자주 해주는 편이고, 호르몬 주기에 따라서 뾰루지도 종종 올라오는 피부입니당! 
 
 그러다보니 집에서 셀프 피지관리나 압출을 할 때가 꽤 있어서 진정효과가 제일 중요한데 정말 딱입니다!
 
 피지제거나 뾰루지 짜고나서 스킨팩으로 해주면 진정이 금방 되더라구요!! 토너로 이정도 효과라고?! 하면서 평소에도 아침 저녁으로 닦토 흡토 해주고있는데 더 대박인 건 뾰루지가 잘 안나요..! 
 이 부분이 대박 ㅠㅠ 그래서 이번엔 호르몬 주기때도 뾰루지 거의 안나고 깨끗한 상태로 지나갔답니당ㅠㅠ 
 더 오래 써봐야 효과를 더 잘알겠지만 전 이미 한통 더 사려고 마음먹었네욤ㅎㅎ이제 1/3 썼는데..(근데 정말 안아끼고 듬뿍듬뿍 쓰고있어요)
 
 ✅무색,무취: 색도 거~의 없고 약간의 초록(?)빛이라고 해야하나 근데 거의 없어요! 향도 전 일부러 맡아봐도 안났어요!
 
 정말 모든 피부 타입이 써도 만족할 토너일 것 같아요!
 닦토 흡토 스킨팩으로 활용해서 모두들 꿀피부되세요😊
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",2026
3.0,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"❤️아비브 정말 최고❤️
 아비브 껌딱지 팩으로 아비브에 입덕하고, 모든 기초제품을 아비브로 쓰고 있는 사람입니당 ㅎㅎ
 
 ✅ 피부 타입: 수부지
 
 ✅ 장점 및 활용법
 1) 아비브 어성초 패드로 닦토해준 다음에 스킨부스터로 챱토해주면 진정 쿨링효과 최고랍니다!
 2) 스킨케어 1단계를 아비브 어성초 패드와 스킨부스터로 해주셨다면 어성초 에센스로 수분감까지 보충해주세용! 그럼 피부 열감이 더욱 낮아져서 쿨링감도 느낄 수 있고 얼굴 붉은기도 완화되어용!
 3) 화장이 아주 잘먹습니다! 그래서 데일리 필수 스킨케어템이에용!
 4) 마스크로 인한 피부 트러블이나 생리로 인해 얼굴에 뾰루지 올라왔을 때 진정시켜주기 좋은 제품이에용!
 5) 챱토를 두번이상해주면 수분감을 더욱 느끼실 수 있답니당!
 
 ✅ 아쉬운 점
 1) 할인을 더 많이 자주해주세용...💖ㅎㅎㅎ
 
 진짜 아비브 넘 좋아용🐬💚 최고 최고👍🏻!!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",2027
2.5,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"올영체험단으로 약 2주간 열심히 사용했습니다.
 저는 수분이 많이 부족한 민감성 피부입니당~ 그래서 평소에 기초화장품에 관심이 많아 여러제품들 많이 사용해봤는데 재구매의사 있어요:) 제 피부에 맞는 제품을 찾는게 생각보다 어려운데 피부에 잘맞고 진정효과가 있어요!
 먼저 제형은 완전 물같은 제형이에요! 저는 닦토하는 편이라 처음 사용할때 닦토로 써봤는데 너무 물같은 제형이라 제 피부에는 닦아낼때 자극이 되더라고요ㅠㅠ 그래서 그냥 바르는 용나 화장솜팩용으로 사용중이에요! 근데 매우 만족중입니다!
 특히 요즘 밖에 있을 일이 많았는데 마스크때문에 피부가 따갑고 뭐가 막 올라왔는데 진정용으로 좋더라고요! 평소에 쓰던 제품보다 자극이 덜 했고 진정되는 느낌을 받았습니다! 요즘 이 제품으로 3토너하고 평소 쓰는 세럼 생략하고 다음 단계로 넘어갑니다~! 
 아비브마스크도 잘사용했는데 이 제품도 좋네요><
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 * 본 상품 후기는 올영체험단으로 선정되어 CJ올리브영으로부터 위 상품을 무료로 제공받아 작성한 것입니다.",2028
2.0,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"♥️ 향
 처음에 열었을 때는 약간 자연의 향? 이 느껴져서 아 뭔가 건강해지는 느낌이다? 라는 생각이 들었어요! 심하게 나는건 아니라서 향에 민감하신 분들도 사용할 수 있을 것 같아요.
 
 ♥️ 진정효과
 어성초 제품이 진정효과가 있는 것처럼 이것도 진정효과가 있어요! 얼굴이 좀 예민하다고 느끼는 날에도 이거 쓰면 확실히 얼굴이 진정되는 느낌이 있더라구요
 
 ♥️ 닦토, 부분팩으로 굳
 저는 보통 화장솜에 묻혀서 쓰고, 가끔은 1/2화장솜에다가 듬뿍 적셔서 부분팩? 으로 사용했는데 전 부분팩으로 사용하기 너무 좋더라구요!
 
 😞 가격
 확실히 가격대가 조금 있어서 듬뿍듬뿍 사용할 때 눈에서 눈물이 나더라구요 ...^^ 부분팩할 때 1/2화장솜 사용하는 이유도 그래서 랍니다,,!
 
 전체적으로 만족스러운 제품이었습니다! 이번에는 올영체험단에 당첨되어 받은 상품이지만 다음번에 제가 직접 구매해서 사용할 의사 있습니다! 
 진정효과가 필요하거나 민감하신 분들, 건성분들 강추 드려요💕
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 * 본 상품 후기는 올영체험단으로 선정되어 CJ올리브영으로부터 위 상품을 무료로 제공받아 작성한 것입니다.",2029
3.0,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"👍🏻 진짜 역대급 스킨...! 👍🏻 
 이거는 내가 써본 스킨 중 다섯손가락안에 드는 제품 ..! 
 아비브는 사실 너무 좋아하는 브랜드라 기대를 정말 많이 하고 썼어요..! 근데,,,,,,,,, 진짜 너무 좋아요 🤍
 
 -( 흡수력 ) 내 피부는 건성같은 복합성인데 스킨만 바르면 살짝 당기나..? 하는 느낌이 들지만 그 속에서도 스킨이 전체로 다 흡수된 느낌이 들고, 속이 꽉 찬 느낌이 들어요!! 
 그리고 흡수도 빨리 돼요 ㅠㅠ !! 🤍
 -( 제형 ) 끈적거리지 않고 물처럼 흐르는 제형이에요
 -( 순해요!! 🖤 )전에 쓰던제품은 눈에 들어가면 따가웠는데 ㅠ .. 이건 눈에 들어가도 하나도 안아프고 ㅠㅠ 🖤 순해요!! 
 -진정에도 좋은 스킨이지만 저에겐 보습에도 좋은거 같아용!! 🤍
 -( 향 ) 무슨 향이 난담니까 ..? 저는 스킨쓰면서 향이 난다던가? 할 정도로 크게 신경쓰이지 않았어요! 
 
 저같이 건성, 복합성이신 분 들이 쓰시면 잘 맞을거 같아요 ㅎㅎ 
 진짜 재구매력 뿜뿜 올라오는 제품이네용 ,, ㅠ 🤍 다들 쓰세여,,,!!!! 🤍🤍
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 * 본 상품 후기는 올영체험단으로 선정되어 CJ올리브영으로부터 위 상품을 무료로 제공받아 작성한 것입니다.",2030
3.0,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"평소 아비브 제품에 관심이 많았어요. 그 이유는 저자극,순한 제품으로 알려져있고 뭔가 산뜻한 느낌이 드는 제품이였어요. 개인적으로 최애 배우가 광고하는 제품이라 더 믿음이 갔구여~
 
 그러다가 우연히 올영체험단을 체험했고 이 제품이 딱 ! 있어서 너무 좋았어요~~~
 
 아비브 어성초 스킨은 성분부터 착하고 용량도 착합니다.
 
 민감하고 예민한 피부에도 무해하고 향도 순해서 부담없이 사용할 수있어요.
 
 물론 어성초 스킨이라 피부를 진정시켜주는 효과까지 있어요 ㅎㅎ
 
 제 피부는 좁쌀 트러블이 가끔 올라오곤 하는데 그럴때 사용하면 조금 가라앉는 효과를 볼수있었어요 ㅎ 
 
 민감한 피부, 건성 또는 복합성 피부를 위한 기초제품으로 딱인것같아요!! 
 
 추천 합니다 ㅎ
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 * 본 상품 후기는 올영체험단으로 선정되어 CJ올리브영으로부터 위 상품을 무료로 제공받아 작성한 것입니다.",2031
3.0,아비브 어성초 카밍 토너 스킨부스터 더블 기획,"일단 향이 없어서 너무 좋아요. 제형은 아주 일반적인 물토너에요! 닦토 찹토 둘다 해봤는데 닦토만 하면 정말 닦아내는 기분만 들어서 수분감을 채워준다는 느낌은 받지 못했어요. 그런데 닦토하니깐 먼지가 조금 묻어나와서 깔끔해진 기분이었답니다!! 저는 닦토 한번 하고 찹토로 얼굴 두들겨주는 걸 추천드려요!! 가끔은 스킨팩하는 용도로도 씁니다! 스킨팩하면 붉은기가 사라지고 진정되는 느낌이에요!
 저는 좋았던게 제품이 엄청 순해요!! 트러블이 막 사라진다 이런건 아닌데 제가원래 어성초가 잘맞아서 그런지 더이상 트러블이 나지 않았어요!! 그냥 무난한 스킨같아요! 저는 독도토너도 잘 맞아서 그거랑 번갈아서 쓸것 같네요~
 그리고 아비브 브랜드가 친환경적인 느낌이 강해서 더 좋아요!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.
 * 본 상품 후기는 올영체험단으로 선정되어 CJ올리브영으로부터 위 상품을 무료로 제공받아 작성한 것입니다.",2032
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"독도라인 쓰다가 이제 날도 더워지고 깔끔하고 산뜻한 수분크림 찾다가 샀어용! 여름에 습하고 더울때 가볍게 쓸수 있을것 같습니다~!!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",900
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"워낙 순하다는 얘기 많이 들었는데 역시 순하네요 독도시리즈는 슬리핑 팩부터 토너까지 워낙 자주 구매했어서 불안함 없이 샀어요 역시 좋네요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",901
1.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"진짜 순하고 수분감이 너무 좋아서 깜짝 놀랐어요! 라운드랩 제품은 다 순한느낌이라 믿고 씁니다!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",902
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"드디어 정착한 저의 수분크림이에요
 수부지인 저에게 여름에 딱 쓰기 좋은 수분크림이에요
 볼쪽은 건성이라 다른 수분크림을 한번 덧 발라주고 있어요
 정말 가볍고 피부에 쫙 달라붙는 느낌이에요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",903
3.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"나이트용으로 사용하는 제품은 따로 있는데
 메이크업 전에 사용하기엔 요즘 날씨엔
 리치하더라구요..
 메이크업 전에 가벼우면서도 보습 잡아줄
 제품으로 찾다가 구매했는데 딱입니다!
 자극도 없어서 트러블없이 잘 바르고 있어요~
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",904
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"이번에 처음산건데 순하고 수분이 많이들어있어서 여름템으로 좋아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",905
1.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"자극없고 냄새없고 바르면 촉촉해요 다만 가성비가 좀...
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",906
1.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"다른건 바르면 얼굴에 뾰루지가 나서 딸아이가 이것만 쓰네요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",907
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"나 선동균 피부 관리 하는 남자. 그래서 사용함.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",908
1.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"이 수분크림이 좋다해서 샀는데 무겁지 않고 산뜻한 느낌을 원했는데 이게 딱 그 느낌이라서 너무 좋았고, 알갱이가 있지만 잘 녹아서 문제는 아닌거 같네요 용량을 안 보고 샀더니 크기가 생각보다 작았어요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",909
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"아직 안써봐서 모르겠어요 친구 추천으로 사봤는데 어떨지 궁금하네요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",910
1.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"알갱이 진짜..개빡침...맨날 펴바르고 흡수시킨 뒤에 거울보면서 알갱이 뽁뽁이처럼 눌러서 터트려야 함..
 화장도 밀림.. 처음 크림 바른 뒤 피부화장하다가 다 밀려서 다른 크림 바르고 첨부터 다시함.. 특별히 좋은점도 없어서 이거 살 바엔 다른거 사는게 나을듯
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",911
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"민감지성피부. 바르고 나서 시간이 지날수록 얼굴 전체적으로 열이 오르고 간질거려서 얼굴에는 바르지 않고 넥크림으로 쓰고 있습니다. 목에는 크게 트러블이 나지 않았습니다. 피부가민감한 분들이 아니면 무난하게 쓸 수 있는 크림입니다.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",912
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"한번쓰고 빠짐 제품이예요 세일때 하나씩 쟁여놔야 해여
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",913
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"친구들의 추천으로 처음 구입했는데
 지성+건성이 저에게 정말 좋아요 ㅎㅎ
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",914
1.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"세일해서 처음 사봤는데 촉촉하고 나름 괜찮은고갘아요 증정춤 크림은 여행때 잘들고다니고 쓰고있습니다 ㅎㅎㅎ여러가지 수분크림 써보고있는데 나쁘지않아요 ㅎㅎㅎ쏘쏘 합니다 ㅎㅎㅎ구성 마음에 듭니다 ㅎㅎ
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",915
1.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"저번에 써보고 좋아서 다시 샀어요 여드름 피부에 좋아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",916
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"아직 써보지는 않았지만 복합성인데
 잘 맞기를요….0
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",917
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"직원 추천받아 구매함 
 아직 안 써봄 
 좋길바래용~~
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",918
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"극지성이라 세수하고 2시간 후에 유분이 올라오는 저에게 있어서 가장 적합한 제품입니다. 바를때 유분이 느껴지지 않으면서 안에 있는 캡슐로 인해 보습이 되는 제품이라서 굉장히 만족하며 사용하고 있습니다.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",919
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"저는 지성인데 음...... 솔직히 잘 모르겟어요 그냥 화해에서 유명하길래 삿ㄴ는데 지성분들이 사용하기엔 약간의 마무리감이 미끌거리긴 해요 화장 전에 쓰면 화장 잘먹을 것 같긴함 !
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",920
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"처음 써보는데 아주 좋습니다 찐득거리지도않고 가벼워요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",921
3.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"여드름아 많이나고 피부도 많이 붉어지는 편이었는데 아 수분크림 쓰고 피부좋아졌다는 얘기 많이 듣고 있어요 1달정도 쓰니 효과를 보기 시작 했습니다. 정말좋아요 순한고 찾으시는 분들은 이거 강추 합니다~!!!!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",922
2.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"기존에 사용하던 수분크림이 겉도는 느낌이라 워낙 입소문이 좋고 평이 좋아서 구입해봤는데 피부 속 까지 흡수되고 촉촉해지는게 인생 수분크림 입니다. 무엇보다 성분도 모두 착해서 좋아요.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",923
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"살짝만 발라봤는데 촉촉하고 시원함도 오래가고 좋습니다 향은 거의 없는편에 속하고 너무 되지도 묽지도 않아서 좋은것 같습니다 바른 후 약간 끈적거리는 느낌이 들수있는데 오히려 저는 쫀쫀ㅎㅐ지는것같아서 좋아하지만 호불호는 있을수 있습니다 무튼 첫 구매인데 만족스럽습니다
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",924
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"여름마다 쓰는 수분 크림인데 정말 끈적임이 하나도 없어서 좋아요 ! 건성분들은 건조 하실 것 같지만, 여름에 끈적이거나 피지 분비 많으신 분들은 딱 이실 것 같네요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",925
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"지성인 제부피에 매트하고 산뜻하니 
 잘 맞는거 같아요
 기름기도 덜 도는거 같아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",926
2.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"일시적인건지는 모르겠는데 볼쪽에 홍조기있는게 진정되는 느낌이예요!! 그동안 수분크림쓰면 너무 기름져있고 흡수도 너무 안되었는데 이건 흡수도 좋고 적당히 번들하더라구요 특히 튼부분에 적당히 발라서 문질문질하면 흡수되서 촉촉?해진다해야할가요 굉장히 좋은 아이템이예요!
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",927
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"수분감이 엄청 느껴지지는 않지만 가볍고 괜찮아요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",928
2.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"후기 찾아보고 규매했는데
 복합성피부인 제게는 크림만 단독으로 발랐을때
 보습이 조금 부족하게 느껴지더라구요
 입소문난만큼 좋은 제품인지는 솔직히 모르겠어요..
 하지만 성분좋은건 맞는거같아요 피부 자극은
 전혀 없습니다.
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",929
1.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"언제나 재구매의사 100% 자극없이 순하고 촉촉하고 아토피 피부도 안심하고 사용할 수 있어요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",930
1.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"라운드랩 같은 랑ㄴ 선크림 써보규 좋아서 구매햇어요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",931
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"원래 독도 수분 크림을 쓰다가 증정품으로 받아서 써봤는데 너무 좋아서 아예 자작나무 수분 크림으로 갈아탔습니다! 개인적으로 꾸덕한 타입을 안 좋아하는데 적당히 촉촉한 제형이라 좋아요~
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",932
2.0,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"여드름 피부로 추천받아 사용했는데 자극적이지않고 수분 보충이 잘 되어서 좋아요
 계속 사용해야겠어요
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",933
1.5,★에바 P!CK★라운드랩 자작나무 수분크림 1+1기획(+수분패드 10매),"한번 사용후 자극없고 끈적임 없고
 잘스며들며 ~가벼운거 좋아 하시는 분들이
 만족할것 같네요~
 ※ 해당 리뷰는 원칙적으로 기본 상품이 동일한 단품 사용 후 작성된 것이며,개별 상품에 따라 용량 내지 일부 구성(1+1, 기획상품 등)이 상이할 수 있음을 안내드립니다.",934
